公用天然氣事業氣體售價表,,,,
從量費,,,,
單位：元/立方公尺,,,,
公司名稱,種類,110.1.1,110.4.1,110.5.1
中油公司,NG1,7.50,7.93,8.15
(輸氣幹線批發價格),NG2,8.17,8.64,8.88
欣隆天然氣公司,NG1,10.50,10.93,11.15
大台北區瓦斯公司,NG1,9.73,10.16,10.38
陽明山瓦斯公司,NG1,10.53,10.96,11.18
欣湖天然氣公司,NG1,10.40,10.83,11.05
欣欣天然氣公司,NG1,10.62,11.05,11.27
新海瓦斯公司,NG1,10.90,11.33,11.55
欣芝實業公司,NG1,11.12,11.55,11.77
欣泰石油氣公司,NG1,10.56,10.99,11.21
欣桃天然氣公司,NG1,9.69,10.12,10.34
,NG2,10.61,11.08,11.32
新竹瓦斯公司,NG1,10.27,10.70,10.92
中油天然氣事業部公用天然氣營業處,NG1,9.11,9.54,9.76
竹建瓦斯公司,NG1,9.98,10.41,10.63
裕苗天然氣公司,NG1,10.28,10.71,10.93
,NG2,11.21,11.68,11.92
欣中天然氣公司,NG1,11.02,11.45,11.67
欣彰天然氣公司,NG1,11.25,11.68,11.90
,NG2,12.44,12.91,13.15
欣林天然氣公司,NG1,11.54,11.97,12.19
,NG2,12.58,13.05,13.29
竹名天然氣公司,NG2,12.68,13.15,13.39
欣雲天然氣公司,NG2,12.22,12.69,12.93
欣嘉石油氣公司,NG2,12.53,13.00,13.24
大台南區天然氣公司,NG2,12.18,12.65,12.89
欣南天然氣公司,NG2,12.43,12.90,13.14
欣雄天然氣公司,NG2,12.32,12.79,13.03
欣高石油氣公司,NG2,11.97,12.44,12.68
南鎮天然氣公司,NG2,11.99,12.46,12.70
欣屏天然氣公司,NG2,12.23,12.70,12.94
